118.012 -0.966043 4 
117.799 3.02827 4 
117.799 3.02827 6 
118.012 -0.966043 6 

118.012 -0.966043 4 
114.447 0.84638 4 
114.447 0.84638 6 
118.012 -0.966043 6 

118.012 -0.966043 4 
114.66 -3.14793 4 
114.66 -3.14793 6 
118.012 -0.966043 6 

118.012 -0.966043 4 
118.226 -4.96035 4 
118.226 -4.96035 6 
118.012 -0.966043 6 

118.012 -0.966043 4 
121.578 -2.77847 4 
121.578 -2.77847 6 
118.012 -0.966043 6 

118.012 -0.966043 4 
121.365 1.21584 4 
121.365 1.21584 6 
118.012 -0.966043 6 

118.012 -0.966043 4 
117.799 3.02827 4 
117.799 3.02827 6 
118.012 -0.966043 6 

