112.161 221.236 4 
108.334 220.072 4 
108.334 220.072 6 
112.161 221.236 6 

112.161 221.236 4 
111.255 217.34 4 
111.255 217.34 6 
112.161 221.236 6 

112.161 221.236 4 
115.082 218.503 4 
115.082 218.503 6 
112.161 221.236 6 

112.161 221.236 4 
115.988 222.399 4 
115.988 222.399 6 
112.161 221.236 6 

112.161 221.236 4 
113.067 225.132 4 
113.067 225.132 6 
112.161 221.236 6 

112.161 221.236 4 
109.24 223.968 4 
109.24 223.968 6 
112.161 221.236 6 

112.161 221.236 4 
108.334 220.072 4 
108.334 220.072 6 
112.161 221.236 6 

