114.756 230.893 4 
117.484 227.968 4 
117.484 227.968 6 
114.756 230.893 6 

114.756 230.893 4 
118.653 231.794 4 
118.653 231.794 6 
114.756 230.893 6 

114.756 230.893 4 
115.924 234.719 4 
115.924 234.719 6 
114.756 230.893 6 

114.756 230.893 4 
112.027 233.818 4 
112.027 233.818 6 
114.756 230.893 6 

114.756 230.893 4 
110.858 229.992 4 
110.858 229.992 6 
114.756 230.893 6 

114.756 230.893 4 
113.587 227.068 4 
113.587 227.068 6 
114.756 230.893 6 

114.756 230.893 4 
117.484 227.968 4 
117.484 227.968 6 
114.756 230.893 6 

