122.482 228.817 4 
118.654 227.654 4 
118.654 227.654 6 
122.482 228.817 6 

122.482 228.817 4 
121.576 224.921 4 
121.576 224.921 6 
122.482 228.817 6 

122.482 228.817 4 
125.403 226.085 4 
125.403 226.085 6 
122.482 228.817 6 

122.482 228.817 4 
126.309 229.981 4 
126.309 229.981 6 
122.482 228.817 6 

122.482 228.817 4 
123.388 232.713 4 
123.388 232.713 6 
122.482 228.817 6 

122.482 228.817 4 
119.561 231.55 4 
119.561 231.55 6 
122.482 228.817 6 

122.482 228.817 4 
118.654 227.654 4 
118.654 227.654 6 
122.482 228.817 6 

